mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
3.972,0.6409999999999999,2.7539999999999996,0.391,0.977,0.335,4.457,6.915,2.0
5.468999999999999,0.677,1.17,0.264,0.858,0.27699999999999997,2.568,6.744,2.0
5.978,0.6940000000000001,1.0590000000000002,0.235,0.8190000000000001,0.235,2.347,6.781000000000001,2.0
6.204,0.723,0.9079999999999999,0.243,0.736,0.221,2.109,6.867000000000001,2.0
6.329,0.74,0.807,0.20199999999999999,0.698,0.20199999999999999,1.91,6.821000000000001,2.0
6.456,0.7440000000000001,0.71,0.205,0.703,0.212,1.83,6.827000000000001,2.0
6.73,0.77,0.644,0.172,0.629,0.195,1.64,6.7860000000000005,2.0
6.797999999999999,0.748,0.7490000000000001,0.179,0.679,0.191,1.798,6.8,2.0
6.5489999999999995,0.7659999999999999,0.665,0.175,0.629,0.187,1.655,6.654,2.0
6.622999999999999,0.7759999999999999,0.6940000000000001,0.184,0.595,0.18,1.653,6.685,2.0
7.142,0.759,0.687,0.171,0.649,0.191,1.6980000000000002,6.747000000000001,2.0
6.901,0.768,0.764,0.174,0.618,0.17600000000000002,1.732,6.718999999999999,2.0
7.305,0.764,0.5379999999999999,0.172,0.634,0.161,1.504,6.632000000000001,2.0
7.3839999999999995,0.7759999999999999,0.48,0.147,0.5920000000000001,0.165,1.383,6.83,2.0
7.2410000000000005,0.772,0.513,0.145,0.603,0.162,1.4240000000000002,6.787000000000001,2.0
6.982,0.7859999999999999,0.617,0.146,0.562,0.159,1.483,6.625,2.0
6.971,0.8,0.647,0.14300000000000002,0.53,0.16,1.48,6.691,2.0
8.144,0.7929999999999999,0.47700000000000004,0.14,0.5870000000000001,0.16399999999999998,1.369,6.671,2.0
7.025,0.794,0.595,0.153,0.57,0.15,1.4680000000000002,6.88,2.0
7.528,0.795,0.568,0.134,0.54,0.149,1.391,6.695,2.0
7.5489999999999995,0.8029999999999999,0.451,0.13,0.54,0.153,1.274,6.632999999999999,2.0
7.789,0.802,0.39799999999999996,0.141,0.531,0.147,1.217,6.849,2.0
7.8389999999999995,0.7859999999999999,0.35,0.12300000000000001,0.5429999999999999,0.151,1.167,6.757000000000001,2.0
7.886,0.804,0.374,0.135,0.496,0.14400000000000002,1.149,6.787000000000001,2.0
8.337,0.82,0.363,0.11800000000000001,0.484,0.142,1.107,6.808,2.0
8.41,0.8140000000000001,0.452,0.131,0.512,0.14800000000000002,1.2429999999999999,6.824,2.0
7.955,0.8220000000000001,0.457,0.11599999999999999,0.47200000000000003,0.145,1.189,6.666,2.0
7.57,0.7979999999999999,0.386,0.133,0.512,0.14,1.172,6.67,2.0
8.134,0.823,0.353,0.11800000000000001,0.474,0.136,1.081,6.647,2.0
8.472000000000001,0.804,0.368,0.126,0.498,0.141,1.133,6.781000000000001,2.0
7.667000000000001,0.818,0.414,0.113,0.462,0.133,1.122,6.66,2.0
7.715,0.8220000000000001,0.366,0.107,0.451,0.131,1.056,6.608,2.0
8.407,0.812,0.41700000000000004,0.11800000000000001,0.511,0.147,1.194,6.877999999999999,2.0
8.07,0.8240000000000001,0.382,0.10800000000000001,0.452,0.141,1.083,6.654,2.0
7.912000000000001,0.8079999999999999,0.45799999999999996,0.126,0.494,0.13,1.209,6.632000000000001,2.0
8.193,0.8370000000000001,0.374,0.113,0.435,0.11699999999999999,1.0390000000000001,6.638,2.0
7.921,0.836,0.3,0.10800000000000001,0.435,0.12300000000000001,0.965,6.702999999999999,2.0
8.248,0.8290000000000001,0.348,0.113,0.466,0.12300000000000001,1.0490000000000002,6.587000000000001,2.0
8.112,0.838,0.337,0.10400000000000001,0.424,0.11900000000000001,0.9840000000000001,6.479,2.0
9.169,0.8220000000000001,0.38799999999999996,0.10300000000000001,0.483,0.13,1.104,6.495,2.0
8.184,0.828,0.36200000000000004,0.10099999999999999,0.42100000000000004,0.121,1.006,6.556,2.0
7.9670000000000005,0.8440000000000001,0.36700000000000005,0.1,0.406,0.11699999999999999,0.99,6.527,2.0
8.125,0.838,0.32899999999999996,0.10400000000000001,0.449,0.121,1.004,6.505,2.0
8.129,0.845,0.32899999999999996,0.109,0.402,0.12,0.9590000000000001,6.4910000000000005,2.0
8.318,0.8370000000000001,0.29100000000000004,0.096,0.419,0.127,0.9329999999999999,6.608,2.0
7.9639999999999995,0.863,0.35700000000000004,0.096,0.384,0.11699999999999999,0.955,6.655,2.0
8.686,0.858,0.36,0.09300000000000001,0.39,0.11199999999999999,0.9540000000000001,6.515,2.0
9.014,0.8420000000000001,0.314,0.10400000000000001,0.419,0.121,0.958,6.602,2.0
8.07,0.8320000000000001,0.235,0.08900000000000001,0.42700000000000005,0.107,0.858,6.547999999999999,2.0
7.558,0.841,0.33399999999999996,0.10300000000000001,0.446,0.121,1.005,6.662000000000001,2.0
8.281,0.863,0.222,0.085,0.382,0.113,0.802,6.635,2.0
8.25,0.864,0.319,0.095,0.368,0.124,0.906,6.473,2.0
8.954,0.856,0.274,0.087,0.393,0.11,0.864,6.381,2.0
8.982,0.854,0.31,0.096,0.408,0.114,0.929,6.569,2.0
8.477,0.868,0.363,0.088,0.38,0.11,0.942,6.544,2.0
8.377,0.852,0.291,0.1,0.409,0.117,0.916,6.59,2.0
8.384,0.854,0.278,0.09,0.38,0.105,0.853,6.552,2.0
8.418,0.854,0.247,0.089,0.383,0.108,0.826,6.42,2.0
8.202,0.874,0.202,0.085,0.358,0.118,0.764,6.423,2.0
8.035,0.866,0.267,0.083,0.367,0.108,0.825,6.554,2.0
8.035,0.872,0.282,0.084,0.363,0.109,0.838,6.491,2.0
7.94,0.866,0.36,0.079,0.371,0.107,0.917,6.451,2.0
7.972,0.854,0.24,0.095,0.399,0.103,0.837,6.478,2.0
7.955,0.858,0.19,0.078,0.374,0.104,0.747,6.529,2.0
8.014,0.862,0.236,0.084,0.359,0.113,0.792,6.606,2.0
7.937,0.864,0.289,0.08,0.345,0.1,0.814,6.515,2.0
8.095,0.876,0.261,0.08,0.346,0.095,0.782,6.499,2.0
9.014,0.872,0.286,0.079,0.342,0.103,0.81,6.486,2.0
8.175,0.89,0.267,0.081,0.31,0.103,0.762,6.539,2.0
7.967,0.868,0.265,0.082,0.373,0.095,0.815,6.681,2.0
8.119,0.866,0.246,0.087,0.364,0.098,0.795,6.507,2.0
7.554,0.884,0.196,0.07,0.329,0.096,0.691,6.487,2.0
7.931,0.896,0.203,0.076,0.306,0.103,0.688,6.604,2.0
8.264,0.892,0.257,0.073,0.309,0.093,0.732,6.648,2.0
8.425,0.878,0.295,0.082,0.343,0.107,0.827,6.593,2.0
8.2,0.897,0.156,0.07,0.292,0.093,0.611,6.51,2.0
7.779,0.876,0.256,0.078,0.347,0.105,0.787,6.665,2.0
8.181,0.884,0.209,0.085,0.318,0.1,0.711,6.56,2.0
8.147,0.884,0.195,0.07,0.304,0.091,0.661,6.436,2.0
7.786,0.888,0.246,0.067,0.3,0.088,0.701,6.485,2.0
8.338,0.885,0.258,0.067,0.306,0.092,0.724,6.528,2.0
8.358,0.884,0.24,0.072,0.32,0.103,0.735,6.607,2.0
8.307,0.878,0.258,0.069,0.31,0.095,0.732,6.553,2.0
7.918,0.872,0.221,0.076,0.355,0.094,0.745,6.547,2.0
8.456,0.89,0.186,0.069,0.3,0.091,0.647,6.559,2.0
8.778,0.9,0.177,0.068,0.285,0.097,0.627,6.507,2.0
8.414,0.887,0.297,0.067,0.317,0.094,0.775,6.538,2.0
8.314,0.89,0.229,0.062,0.319,0.089,0.698,6.511,2.0
8.606,0.882,0.236,0.073,0.322,0.101,0.731,6.647,2.0
8.596,0.901,0.228,0.065,0.279,0.096,0.668,6.508,2.0
8.186,0.887,0.196,0.073,0.31,0.091,0.671,6.513,2.0
8.267,0.904,0.177,0.063,0.268,0.084,0.592,6.557,2.0
8.738,0.894,0.24,0.067,0.278,0.091,0.676,6.663,2.0
8.035,0.908,0.218,0.064,0.253,0.083,0.619,6.513,2.0
7.93,0.914,0.188,0.063,0.262,0.088,0.601,6.542,2.0
8.577,0.878,0.207,0.054,0.317,0.095,0.673,6.601,2.0
8.486,0.896,0.26,0.07,0.292,0.09,0.712,6.544,2.0
7.895,0.89,0.239,0.068,0.294,0.085,0.686,6.559,2.0
7.953,0.891,0.239,0.065,0.302,0.082,0.687,6.577,2.0
8.21,0.901,0.219,0.067,0.263,0.091,0.64,6.519,2.0
7.716,0.897,0.212,0.07,0.282,0.088,0.652,6.518,2.0
7.961,0.908,0.162,0.06,0.245,0.085,0.551,6.571,2.0
