mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.591,0.986,0.145,0.091,0.043,0.017,0.296,18.52,2.0
0.596,0.986,0.126,0.093,0.054,0.015,0.287,17.792,2.0
0.6,0.99,0.091,0.083,0.028,0.013,0.215,16.325,2.0
0.598,0.988,0.13,0.095,0.045,0.015,0.284,15.641,2.0
0.586,0.99,0.122,0.092,0.039,0.011,0.263,15.784,2.0
0.551,0.984,0.079,0.093,0.057,0.014,0.243,16.871,2.0
0.606,0.989,0.143,0.088,0.041,0.013,0.286,15.192,2.0
0.547,0.988,0.127,0.088,0.041,0.015,0.271,17.398,2.0
0.593,0.992,0.083,0.081,0.031,0.012,0.206,16.049,2.0
0.584,0.99,0.097,0.083,0.035,0.013,0.228,17.126,2.0
0.601,0.992,0.098,0.083,0.029,0.012,0.222,15.597,2.0
0.586,0.99,0.168,0.091,0.033,0.011,0.303,15.521,2.0
0.589,0.984,0.156,0.087,0.053,0.013,0.309,15.779,2.0
0.592,0.985,0.129,0.085,0.041,0.017,0.272,16.263,2.0
0.611,0.984,0.159,0.082,0.057,0.015,0.312,15.587,2.0
0.623,0.988,0.146,0.082,0.046,0.01,0.284,15.339,2.0
0.625,0.992,0.104,0.078,0.028,0.013,0.223,15.445,2.0
